id;departamento_codigo;distrito_codigo;departamento_descripcion;distrito_descripcion;area;barrio_codigo;barrio_descripcion;cantidad_viv;codigo
1;10;21;ALTO PARANA;TAVAPY;6;210;COLONIA GUEMBETY MI;21;10216210
2;10;21;ALTO PARANA;TAVAPY;6;220;ESTANCIA RANCHO GRANDE AGRO FORESTAL S.A;23;10216220
3;10;21;ALTO PARANA;TAVAPY;6;250;FULGENCIO R. MORENO;37;10216250
4;10;21;ALTO PARANA;TAVAPY;6;190;8 DE DICIEMBRE;28;10216190
5;10;21;ALTO PARANA;TAVAPY;6;150;SAN BLAS;57;10216150
6;10;21;ALTO PARANA;TAVAPY;6;270;SANTA LUCIA;84;10216270
7;10;21;ALTO PARANA;TAVAPY;6;170;TAVAPY 1;181;10216170
8;10;21;ALTO PARANA;TAVAPY;6;240;ASENT. SEBASTIAN LARROSA;82;10216240
9;10;21;ALTO PARANA;TAVAPY;6;110;DOLORES;27;10216110
10;10;21;ALTO PARANA;TAVAPY;6;230;ASENT. FATIMA;8;10216230
11;10;21;ALTO PARANA;TAVAPY;6;140;FATIMA;44;10216140
12;10;21;ALTO PARANA;TAVAPY;1;2;SAN JOSE;132;10211002
13;10;21;ALTO PARANA;TAVAPY;1;1;SAN ANTONIO;189;10211001
14;10;21;ALTO PARANA;TAVAPY;1;3;CENTRO;81;10211003
15;10;21;ALTO PARANA;TAVAPY;1;5;SAN RAMON;15;10211005
16;10;21;ALTO PARANA;TAVAPY;1;6;SANTA CATALINA;9;10211006
17;10;21;ALTO PARANA;TAVAPY;1;4;SAN ROQUE;49;10211004
18;10;21;ALTO PARANA;TAVAPY;6;200;TAVAPY 2;386;10216200
19;10;21;ALTO PARANA;TAVAPY;6;260;PANAMBU- PIERRER;11;10216260
20;10;20;ALTO PARANA;SAN RAFAEL DEL PARANA;6;450;GLEVA 23 COLONIA ITAIPU;103;10206450
21;10;20;ALTO PARANA;SAN RAFAEL DEL PARANA;6;470;ASENT. SANTIAGO MARTINEZ;72;10206470
22;10;20;ALTO PARANA;SAN RAFAEL DEL PARANA;6;110;GLEVA 7;75;10206110
23;10;20;ALTO PARANA;SAN RAFAEL DEL PARANA;6;120;GLEVA 5 PIKYRY;53;10206120
24;10;20;ALTO PARANA;SAN RAFAEL DEL PARANA;6;100;GLEVA 12 GRAL DIAZ;26;10206100
25;10;20;ALTO PARANA;SAN RAFAEL DEL PARANA;6;140;PYKYRY;186;10206140
26;10;20;ALTO PARANA;SAN RAFAEL DEL PARANA;1;1;URBANO;445;10201001
27;10;20;ALTO PARANA;SAN RAFAEL DEL PARANA;6;420;SANTA FE NUEVA ESPERANZA;200;10206420
28;10;20;ALTO PARANA;SAN RAFAEL DEL PARANA;6;480;GLEVA 11;32;10206480
29;10;20;ALTO PARANA;SAN RAFAEL DEL PARANA;6;430;ASENT. NIÑO JESUS;10;10206430
30;10;20;ALTO PARANA;SAN RAFAEL DEL PARANA;6;460;ASENT. MARACAMOA;42;10206460
31;10;19;ALTO PARANA;IRUÑA;6;160;BOQUERON;77;10196160
32;10;19;ALTO PARANA;IRUÑA;6;110;SAN MIGUEL;62;10196110
33;10;19;ALTO PARANA;IRUÑA;6;100;PASO TIGRE;38;10196100
34;10;19;ALTO PARANA;IRUÑA;6;120;JERUSALEN 1;169;10196120
35;10;19;ALTO PARANA;IRUÑA;6;230;SAN VICENTE FERRER;24;10196230
36;10;19;ALTO PARANA;IRUÑA;6;170;SANTA TERESITA;48;10196170
37;10;19;ALTO PARANA;IRUÑA;6;210;SAN ROQUE;61;10196210
38;10;19;ALTO PARANA;IRUÑA;6;220;SAN CARLOS;99;10196220
39;10;19;ALTO PARANA;IRUÑA;6;290;LINEA DOS HERMANOS;38;10196290
40;10;19;ALTO PARANA;IRUÑA;6;150;CONSUELO;39;10196150
41;10;19;ALTO PARANA;IRUÑA;6;130;JERUSALEN 2;167;10196130
42;10;19;ALTO PARANA;IRUÑA;6;240;JERUSALEN 3;45;10196240
43;10;19;ALTO PARANA;IRUÑA;6;270;KAAGUY PORA;6;10196270
44;10;19;ALTO PARANA;IRUÑA;6;140;SAN PEDRO;84;10196140
45;10;19;ALTO PARANA;IRUÑA;1;1;CENTRO;314;10191001
46;10;18;ALTO PARANA;SAN ALBERTO;6;130;ITAIPU PORA;69;10186130
47;10;18;ALTO PARANA;SAN ALBERTO;3;175;SAN RAMON SUB-URBANO;35;10183175
48;10;18;ALTO PARANA;SAN ALBERTO;6;340;SAN FRANCISCO;34;10186340
49;10;18;ALTO PARANA;SAN ALBERTO;6;160;SAN FRANCISCO LEVA 8;148;10186160
50;10;18;ALTO PARANA;SAN ALBERTO;6;200;CRUCE SAN ALBERTO;153;10186200
