id;departamento;distrito;cuartil_uno;cuartil_dos;cuartil_tres;tipo
1;Concepcion;;3;13;46;D
2;Concepcion;Concepcion;3;9;43;DD
3;Concepcion;Belen;1;3;3;DD
4;Concepcion;Horqueta;2;6;14;DD
5;Concepcion;Loreto;1;2;6;DD
6;Concepcion;San carlos;0;0;0;DD
7;Concepcion;San lazaro;2;2;2;DD
8;Concepcion;Yby ya'u;1;3;6;DD
9;Concepcion;Vallemi;0;0;0;NN
10;Concepcion;AZOTE'Y;0;0;0;DD
11;Concepcion;SGTO. JOSE FELIX LOPEZ;;;;F
12;San Pedro;;2;5;11;D
13;San Pedro;SAN PEDRO DEL YCUAMANDIYU;1;2;2;DD
14;San Pedro;Antequera;0;0;1;DD
15;San Pedro;Chore;1;2;2;DD
16;San Pedro;GENERAL ELIZARDO AQUINO;1;1;1;DD
17;San Pedro;GENERAL RESQUIN;1;2;2;DD
18;San Pedro;Lima;1;1;1;DD
19;San Pedro;NUEVA GERMANIA;0;0;0;DD
20;San Pedro;San pablo;0;0;1;DD
21;San Pedro;Tacuati;1;1;1;DD
22;San Pedro;VILLA DEL ROSARIO;1;1;1;DD
23;San Pedro;SANTA ROSA DEL AGUARAY;1;2;4;DD
24;San Pedro;San Estanislao;2;4;7;DD
25;San Pedro;25 de diciembre;1;1;1;DD
26;San Pedro;YATAITY DEL NORTE;1;1;1;DD
27;San Pedro;Union;1;1;1;DD
28;San Pedro;ITACURUBI DEL ROSARIO;1;1;1;DD
29;San Pedro;Capiibary;1;1;2;DD
30;San Pedro;GUAJAYVI;1;1;3;DD
31;San Pedro;YRYVU CUA;0;0;0;DD
32;San Pedro;LIBERACION;;;;F
33;Cordillera;;3;8;24;D
34;Cordillera;Caacupe;2;4;12;DD
35;Cordillera;Altos;1;2;4;DD
36;Cordillera;Arroyos y Esteros;1;2;3;DD
37;Cordillera;Atyra;1;2;2;DD
38;Cordillera;Caraguatay;1;1;2;DD
39;Cordillera;Emboscada;1;1;2;DD
40;Cordillera;Eusebio Ayala;1;2;3;DD
41;Cordillera;Isla pucu;1;1;1;DD
42;Cordillera;ITACURUBI DE LA CORDILLERA;1;2;3;DD
43;Cordillera;Juan de mena;1;1;1;DD
44;Cordillera;Loma grande;1;1;1;DD
45;Cordillera;Mbocayaty del Yhaguy;1;1;1;DD
46;Cordillera;Nueva Colombia;1;1;1;DD
47;Cordillera;Piribebuy;1;2;4;DD
48;Cordillera;Primero de Marzo;1;1;1;DD
49;Cordillera;San Bernardino;1;1;2;DD
50;Cordillera;Santa Elena;1;1;1;DD
51;Cordillera;Tobati;1;2;3;DD
52;Cordillera;Valenzuela;1;1;1;DD
53;Cordillera;San Jose Obrero;1;1;1;DD
54;Guaira;;2;7;20;D
55;Guaira;Villarica;2;5;16;DD
56;Guaira;Borja;1;1;1;DD
57;Guaira;MAURICIO JOSE TROCHE;1;1;1;DD
58;Guaira;Cnel. Martinez;1;1;1;DD
59;Guaira;Felix Perez Cardozo;1;1;1;DD
60;Guaira;Gral. Eugenio A. Garay;1;1;1;DD
61;Guaira;INDEPENDENCIA;1;1;1;DD
62;Guaira;Itape;1;1;1;DD
63;Guaira;Iturbe;0;0;1;DD
