id;distrito_descripcion;departamento_codigo;departamento_descripcion;distrito_codigo;codigo;cantidad_man
1;25 DE DICIEMBRE;2;SAN PEDRO;12;212;36
2;3 DE FEBRERO;5;CAAGUAZU;18;518;30
3;ACAHAY;9;PARAGUARI;2;902;92
4;ALBERDI;12;ÑEEMBUCU;2;1202;112
5;ALTO VERA;7;ITAPUA;25;725;27
6;ALTOS;3;CORDILLERA;2;302;227
7;ANTEQUERA;2;SAN PEDRO;2;202;88
8;ARROYOS Y ESTEROS;3;CORDILLERA;3;303;80
9;ATYRA;3;CORDILLERA;4;304;124
10;AYOLAS;8;MISIONES;2;802;369
11;AZOTEﾴY;1;CONCEPCION;8;108;13
12;BAHIA NEGRA;17;ALTO PARAGUAY;4;1704;29
13;BORJA;4;GUAIRA;2;402;37
14;BUENA VISTA;6;CAAZAPA;3;603;95
15;CAACUPE;3;CORDILLERA;1;301;644
16;CAAPUCU;9;PARAGUARI;3;903;162
17;CAAZAPA;6;CAAZAPA;1;601;148
18;CAMBYRETA;7;ITAPUA;3;703;501
19;CAPITAN MIRANDA;7;ITAPUA;5;705;86
20;CARMELO PERALTA;17;ALTO PARAGUAY;5;1705;66
21;CECILIO BAEZ;5;CAAGUAZU;4;504;117
22;CHORE;2;SAN PEDRO;3;203;87
23;GENERAL DELGADO;7;ITAPUA;13;713;49
24;DESMOCHADOS;12;ÑEEMBUCU;4;1204;40
25;DOMINGO MARTINEZ DE IRALA;10;ALTO PARANA;3;1003;47
26;DR. JUAN LEON MALLORQUIN;10;ALTO PARANA;4;1004;437
27;EDELIRA;7;ITAPUA;23;723;93
28;FELIX PEREZ CARDOZO;4;GUAIRA;5;405;31
29;FERNANDO DE LA MORA;11;CENTRAL;3;1103;1277
30;FILADELFIA;16;BOQUERON;4;1604;187
31;FRANCISCO CABALLERO ALVAREZ;14;CANINDEYU;7;1407;91
32;FUERTE OLIMPO;17;ALTO PARAGUAY;1;1701;54
33;FULGENCIO YEGROS;6;CAAZAPA;9;609;93
34;GENERAL ARTIGAS;7;ITAPUA;12;712;155
35;GENERAL ELIZARDO AQUINO;2;SAN PEDRO;4;204;189
36;GRAL JOSE MARIA BRUGUEZ;15;PRESIDENTE HAYES;9;1509;24
37;GRAL. EUGENIO A. GARAY;4;GUAIRA;6;406;122
38;GUAZU CUA;12;ÑEEMBUCU;6;1206;18
39;HOHENAU;7;ITAPUA;14;714;331
40;HORQUETA;1;CONCEPCION;3;103;333
41;INDEPENDENCIA;4;GUAIRA;7;407;95
42;ISLA PUCU;3;CORDILLERA;8;308;84
43;ISLA UMBU;12;ÑEEMBUCU;8;1208;39
44;ITACURUBI DE LA CORDILLERA;3;CORDILLERA;9;309;140
45;ITACURUBI DEL ROSARIO;2;SAN PEDRO;5;205;177
46;ITAUGUA;11;CENTRAL;6;1106;1480
47;ITANARA;14;CANINDEYU;5;1405;31
48;ITAPE;4;GUAIRA;8;408;78
49;J A SALDIVAR;11;CENTRAL;19;1119;125
50;JESUS;7;ITAPUA;15;715;148
51;JOSE FALCON;15;PRESIDENTE HAYES;6;1506;55
52;JOSE FASSARDI;4;GUAIRA;10;410;17
53;JUAN DE MENA;3;CORDILLERA;10;310;64
54;KATUETE;14;CANINDEYU;8;1408;200
55;LA COLMENA;9;PARAGUARI;7;907;88
56;LA PASTORA;5;CAAGUAZU;17;517;16
57;PUERTO CASADO;17;ALTO PARAGUAY;2;1702;88
58;LEANDRO OVIEDO;7;ITAPUA;16;716;14
59;LIBERACION;2;SAN PEDRO;20;220;51
60;LIMA;2;SAN PEDRO;6;206;100
61;LOMA GRANDE;3;CORDILLERA;11;311;26
62;LORETO;1;CONCEPCION;4;104;110
63;MARIANO ROQUE ALONSO;11;CENTRAL;10;1110;1389
64;MAURICIO JOSE TROCHE;4;GUAIRA;3;403;107
65;MAYOR OTAÑO;7;ITAPUA;18;718;180
66;MBARACAYU;10;ALTO PARANA;17;1017;36
67;MBOCAYATY;4;GUAIRA;11;411;134
68;MBOCAYATY DEL YHAGUY;3;CORDILLERA;12;312;31
69;MBUYAPEY;9;PARAGUARI;8;908;151
70;MCAL. ESTIGARRIBIA;16;BOQUERON;2;1602;156
71;DR. MOISES BERTONI;6;CAAZAPA;4;604;48
72;NATALICIO TALAVERA;4;GUAIRA;12;412;75
73;NUEVA ALBORADA;7;ITAPUA;6;706;14
74;NUEVA COLOMBIA;3;CORDILLERA;13;313;47
75;NUEVA GERMANIA;2;SAN PEDRO;7;207;48
76;NUEVA LONDRES;5;CAAGUAZU;8;508;77
77;NUEVA TOLEDO;5;CAAGUAZU;22;522;40
78;PASO DE PATRIA;12;ÑEEMBUCU;11;1211;78
79;PINASCO;15;PRESIDENTE HAYES;3;1503;28
80;PIRIBEBUY;3;CORDILLERA;14;314;214
81;PRIMERO DE MARZO;3;CORDILLERA;15;315;30
82;QUIINDY;9;PARAGUARI;10;910;147
83;QUYQUYHO;9;PARAGUARI;11;911;53
84;SAN ALBERTO;10;ALTO PARANA;18;1018;114
85;SAN ANTONIO;11;CENTRAL;13;1113;773
86;SAN BERNARDINO;3;CORDILLERA;16;316;654
87;SAN COSME Y DAMIAN;7;ITAPUA;19;719;150
88;SAN ESTANISLAO;2;SAN PEDRO;8;208;375
89;SAN JOAQUIN;5;CAAGUAZU;9;509;105
90;SAN JOSE DE LOS ARROYOS;5;CAAGUAZU;10;510;144
91;SAN JOSE OBRERO;3;CORDILLERA;20;320;47
92;SAN JUAN DEL PARANA;7;ITAPUA;28;728;42
